Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
CAAnn,,,,1,unclassified
CAApp,,,,1,unclassified
CAConst,,,,1,unclassified
CALam1,,,,1,unclassified
CALam2,,,,1,unclassified
CASFloat,,,,1,unclassified
CAVar,,,,1,unclassified
CDVar,,,,1,unclassified
Coen,,,,1,unclassified
Comput,,,,1,unclassified
Consequentely,,,,1,unclassified
CSUR,,,,1,unclassified
decreasable,,,,1,unclassified
ELit,,,,1,unclassified
encodable,,,,1,unclassified
ETAPS,,,,1,unclassified
EVar,,,,1,unclassified
expressions/consumers,,,,1,unclassified
Fundamenta,,,,1,unclassified
Garrel,,,,1,unclassified
Henk,,,,1,unclassified
higher-rank,,,,1,unclassified
higher-ranked,,,,1,unclassified
HMF,,,,1,unclassified
Hongwei,,,,1,unclassified
Iliano,,,,1,unclassified
ill-typed,,,,1,unclassified
informaticae,,,,1,unclassified
Krishnaswami's,,,,1,unclassified
Kuraj,,,,1,unclassified
let-binding,,,,1,unclassified
meta-operation,,,,1,unclassified
Metavariables,,,,1,unclassified
Multi-field,,,,1,unclassified
Neelakantan,,,,1,unclassified
non-deterministic,,,,1,unclassified
non-zero,,,,1,unclassified
ObjectOriented,,,,1,unclassified
Oliveira's,,,,1,unclassified
ommiting,,,,1,unclassified
Regis-Gianas's,,,,1,unclassified
Roadmap,,,,1,unclassified
Sacerdoti,,,,1,unclassified
SAndL,,,,1,unclassified
selection/matching,,,,1,unclassified
strategies/guidelines,,,,1,unclassified
subtyping/matching,,,,1,unclassified
Tassi,,,,1,unclassified
teleportation-based,,,,1,unclassified
Thessaloniki,,,,1,unclassified
Torgersen,,,,1,unclassified
Tridirectional,,,,1,unclassified
type-directed,,,,1,unclassified
type-inference,,,,1,unclassified
type-safety,,,,1,unclassified
unannotted,,,,1,unclassified
Venneri,,,,1,unclassified
vice-versa,,,,1,unclassified
