Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
ref-prog,,,,3,unclassified
ref-val,,,,3,unclassified
rwp-pure,,,,3,unclassified
SIGPLAN-SIGACT,,,,3,unclassified
Stack.add,,,,3,unclassified
Stack.take,,,,3,unclassified
step-indexing,,,,3,unclassified
sub-distribution,,,,3,unclassified
sub-distributions,,,,3,unclassified
super-martingales,,,,3,unclassified
Svendsen,,,,3,unclassified
terminationpreserving,,,,3,unclassified
Agrawal,,,,2,unclassified
almostsurely,,,,2,unclassified
Arons,,,,2,unclassified
Athreya,,,,2,unclassified
Atkey,,,,2,unclassified
Borel-Cantelli,,,,2,unclassified
Bournez,,,,2,unclassified
Brazdil,,,,2,unclassified
Chargueraud,,,,2,unclassified
cpl-model,,,,2,unclassified
cpl-model-prog,,,,2,unclassified
cpl-prog,,,,2,unclassified
dynamically-allocated,,,,2,unclassified
Eberl,,,,2,unclassified
Ectx,,,,2,unclassified
Etessami,,,,2,unclassified
event-loop,,,,2,unclassified
exec0,,,,2,unclassified
Feng,,,,2,unclassified
Fioriti,,,,2,unclassified
FOSSACS,,,,2,unclassified
Garnier,,,,2,unclassified
Hermanns,,,,2,unclassified
Hongseok,,,,2,unclassified
inr,,,,2,unclassified
Krishnendu,,,,2,unclassified
Kwiatkowska,,,,2,unclassified
Lago,,,,2,unclassified
Landin,,,,2,unclassified
Landin's,,,,2,unclassified
lazy-sampled,,,,2,unclassified
LazyReal((R)1,,,,2,unclassified
LazyReal((R)2,,,,2,unclassified
LICS,,,,2,unclassified
Lindvall,,,,2,unclassified
List.init,,,,2,unclassified
Majumdar,,,,2,unclassified
Matheja,,,,2,unclassified
modality--only,,,,2,unclassified
Mumbai,,,,2,unclassified
order-2,,,,2,unclassified
Pnueli,,,,2,unclassified
pRHL,,,,2,unclassified
Run-Times,,,,2,unclassified
rwp-rand,,,,2,unclassified
rwp-tape-empty,,,,2,unclassified
Sathiyanarayana,,,,2,unclassified
self-referential,,,,2,unclassified
sstep(1,,,,2,unclassified
Stack.create,,,,2,unclassified
step--which,,,,2,unclassified
super-martingale,,,,2,unclassified
Supermartingales,,,,2,unclassified
termination-insensitive,,,,2,unclassified
Thorisson,,,,2,unclassified
user-chosen,,,,2,unclassified
Villani,,,,2,unclassified
workarounds,,,,2,unclassified
Yannakakis,,,,2,unclassified
zero-one,,,,2,unclassified
2We,,,,1,unclassified
ACM/IEEE,,,,1,unclassified
Aleksandar,,,,1,unclassified
Algorithmica,,,,1,unclassified
almost-termination,,,,1,unclassified
Armael,,,,1,unclassified
AUTHOR(S,,,,1,unclassified
Autom,,,,1,unclassified
body's,,,,1,unclassified
breadthfirst,,,,1,unclassified
Caires,,,,1,unclassified
Caliper.4,,,,1,unclassified
Carbonneaux,,,,1,unclassified
Carreno,,,,1,unclassified
chain's,,,,1,unclassified
Compositionality,,,,1,unclassified
continuation-passing,,,,1,unclassified
Countributions,,,,1,unclassified
Culpepper,,,,1,unclassified
D.L,,,,1,unclassified
Deepak,,,,1,unclassified
depth-first,,,,1,unclassified
discrete-time,,,,1,unclassified
Ejlers,,,,1,unclassified
Espitau,,,,1,unclassified
everywhere-zero,,,,1,unclassified
execution--exactly,,,,1,unclassified
execution.1,,,,1,unclassified
Faggian,,,,1,unclassified
first-in-first-out,,,,1,unclassified
fixedpoint,,,,1,unclassified
fst,,,,1,unclassified
Funct,,,,1,unclassified
future--reach,,,,1,unclassified
Gaboardi,,,,1,unclassified
Gaher,,,,1,unclassified
Gethin,,,,1,unclassified
Giannakopoulos,,,,1,unclassified
Giesl,,,,1,unclassified
Gondelman,,,,1,unclassified
Gratzer,,,,1,unclassified
guarded-recursive,,,,1,unclassified
Gueneau,,,,1,unclassified
Haselwarter,,,,1,unclassified
Haslbeck,,,,1,unclassified
hoare-style,,,,1,unclassified
Hoare-triple-like,,,,1,unclassified
Holger,,,,1,unclassified
Hongfei,,,,1,unclassified
Iris's,,,,1,unclassified
Iris-style,,,,1,unclassified
K.B,,,,1,unclassified
Kousha,,,,1,unclassified
Kucera,,,,1,unclassified
later-and,,,,1,unclassified
later-intro,,,,1,unclassified
later-sep,,,,1,unclassified
lattice-theoretical,,,,1,unclassified
lazy-real,,,,1,unclassified
Lelay,,,,1,unclassified
let-bindings,,,,1,unclassified
letrec,,,,1,unclassified
lower-bounded,,,,1,unclassified
lower-bounds,,,,1,unclassified
