Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
accfalse,,,,3,unclassified
acctrue,,,,3,unclassified
all_results_shallow(counter,,,,3,unclassified
anti-frame,,,,3,unclassified
containRetTrue,,,,3,unclassified
counterz,,,,3,unclassified
ens[r1,,,,3,unclassified
ens[r2,,,,3,unclassified
ens[rz,,,,3,unclassified
Entail-Eff,,,,3,unclassified
Entail-HO,,,,3,unclassified
Entail-Try-Catch,,,,3,unclassified
exc_handler,,,,3,unclassified
first-order,,,,3,unclassified
Flip(r0,,,,3,unclassified
heaplet,,,,3,unclassified
Hillerstrom,,,,3,unclassified
Kameyama,,,,3,unclassified
Kawahara,,,,3,unclassified
Leijen,,,,3,unclassified
lemma2,,,,3,unclassified
LHS=N,,,,3,unclassified
non-trivial,,,,3,unclassified
Norm(v,,,,3,unclassified
OP-Deep,,,,3,unclassified
OP-Ret,,,,3,unclassified
OP-Shallow,,,,3,unclassified
Piskac,,,,3,unclassified
Pure(N,,,,3,unclassified
R-Unfold,,,,3,unclassified
res=r0,,,,3,unclassified
round-robin,,,,3,unclassified
Sivaramakrishnan,,,,3,unclassified
state_handler,,,,3,unclassified
try[s,,,,3,unclassified
user-defined,,,,3,unclassified
Var-Const,,,,3,unclassified
zero-/one-/multi-shot,,,,3,unclassified
all_results's,,,,2,unclassified
all_results(n,,,,2,unclassified
all_results_shallow,,,,2,unclassified
any_queue(queue,,,,2,unclassified
any_queue(run_q,,,,2,unclassified
App-Lemma1,,,,2,unclassified
Big-Step,,,,2,unclassified
bop(t1,,,,2,unclassified
Brotherston,,,,2,unclassified
Bruggeman,,,,2,unclassified
Call-Unknown,,,,2,unclassified
callee(r,,,,2,unclassified
containRetTrue(xs,,,,2,unclassified
counterw+1,,,,2,unclassified
counterz+c,,,,2,unclassified
counterz1,,,,2,unclassified
counterz2,,,,2,unclassified
Delbianco,,,,2,unclassified
Disj,,,,2,unclassified
E(y)k,,,,2,unclassified
effNo(f2,,,,2,unclassified
empty_queue(queue,,,,2,unclassified
ens[rc,,,,2,unclassified
ens[ret,,,,2,unclassified
ens[ro,,,,2,unclassified
ens[y,,,,2,unclassified
ETAPS,,,,2,unclassified
foo(f,,,,2,unclassified
fst,,,,2,unclassified
Gherghina,,,,2,unclassified
goo(r,,,,2,unclassified
Ierusalimschy,,,,2,unclassified
ImpureC,,,,2,unclassified
inp,,,,2,unclassified
iw+n,,,,2,unclassified
Kawamata,,,,2,unclassified
Label(y,,,,2,unclassified
Lambda-Def,,,,2,unclassified
LICS,,,,2,unclassified
m+w,,,,2,unclassified
match-with,,,,2,unclassified
match[d,,,,2,unclassified
ML-like,,,,2,unclassified
MultiS,,,,2,unclassified
Nanevski,,,,2,unclassified
non-recursive,,,,2,unclassified
non_empty_queue(queue,,,,2,unclassified
Norm-Disj,,,,2,unclassified
Norm-Flow,,,,2,unclassified
Norm-Norm,,,,2,unclassified
normal-flow,,,,2,unclassified
OP-If,,,,2,unclassified
OP-Perform,,,,2,unclassified
OP-Unhandled,,,,2,unclassified
Phipps-Costin,,,,2,unclassified
protocol-based,,,,2,unclassified
proves/disproves,,,,2,unclassified
Pure(Q,,,,2,unclassified
QF1,,,,2,unclassified
QF2,,,,2,unclassified
r/x,,,,2,unclassified
read_handler,,,,2,unclassified
Rec-Pred,,,,2,unclassified
res+acc,,,,2,unclassified
res1,,,,2,unclassified
res2,,,,2,unclassified
res=r,,,,2,unclassified
res=r1,,,,2,unclassified
resr=0,,,,2,unclassified
resr=1,,,,2,unclassified
RHS=try,,,,2,unclassified
rk,,,,2,unclassified
S+S,,,,2,unclassified
scrutinee,,,,2,unclassified
spawn(f,,,,2,unclassified
try-block,,,,2,unclassified
two_pointers,,,,2,unclassified
Yoshida,,,,2,unclassified
Zenodo,,,,2,unclassified
Zero-Shot,,,,2,unclassified
