Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
macro-benchmarks,,,,2,unclassified
Marre,,,,2,unclassified
memory-liveness,,,,2,unclassified
model-based,,,,2,unclassified
n[r,,,,2,unclassified
NCREATE=10,,,,2,unclassified
Niemetz,,,,2,unclassified
Notzli,,,,2,unclassified
NREAD=6,,,,2,unclassified
NWRITE=4,,,,2,unclassified
old_gen,,,,2,unclassified
Ozdemir,,,,2,unclassified
performance-critical,,,,2,unclassified
Pottier's,,,,2,unclassified
Preiner,,,,2,unclassified
Pyrsistent,,,,2,unclassified
rooted_dag,,,,2,unclassified
rustc,,,,2,unclassified
Sarnak,,,,2,unclassified
set-heavy,,,,2,unclassified
Sleator,,,,2,unclassified
snapshot.root,,,,2,unclassified
Stokke,,,,2,unclassified
Store.Ref.make,,,,2,unclassified
Store.Ref.t,,,,2,unclassified
Store.restore,,,,2,unclassified
store.root,,,,2,unclassified
Sylvain,,,,2,unclassified
Tinelli,,,,2,unclassified
Tyng-Ruey,,,,2,unclassified
undo_log,,,,2,unclassified
variable-variable,,,,2,unclassified
Vindum,,,,2,unclassified
Zito,,,,2,unclassified
Abdalrhman,,,,1,unclassified
actions.10,,,,1,unclassified
Aina,,,,1,unclassified
Algorithmica,,,,1,unclassified
antioperations,,,,1,unclassified
any.4,,,,1,unclassified
append-only,,,,1,unclassified
Applicatifs,,,,1,unclassified
asymptotics,,,,1,unclassified
Backtracking-abort,,,,1,unclassified
backtracking-heavy,,,,1,unclassified
backtracking-intensive,,,,1,unclassified
Backtracking-persistent,,,,1,unclassified
backtracking/search,,,,1,unclassified
Baker.13,,,,1,unclassified
Bakerinspired,,,,1,unclassified
best-case,,,,1,unclassified
best-in-class,,,,1,unclassified
birth-date,,,,1,unclassified
bitsets,,,,1,unclassified
Bodil,,,,1,unclassified
call-time,,,,1,unclassified
caml_modify,,,,1,unclassified
capture-heavy-large-support,,,,1,unclassified
captured2,,,,1,unclassified
choco-solver,,,,1,unclassified
commitonly,,,,1,unclassified
Commun,,,,1,unclassified
complexifies,,,,1,unclassified
constraint-solving,,,,1,unclassified
context-depedent,,,,1,unclassified
copy-on-write,,,,1,unclassified
"create,read,write",,,,1,unclassified
d'Excideuil,,,,1,unclassified
data-structure,,,,1,unclassified
depth-first,,,,1,unclassified
disjoint-set,,,,1,unclassified
dynarray,,,,1,unclassified
effiectievly,,,,1,unclassified
elision.15,,,,1,unclassified
elision16,,,,1,unclassified
end-user,,,,1,unclassified
entailement,,,,1,unclassified
EnvironmentTrailing.java,,,,1,unclassified
ETAPS,,,,1,unclassified
expert-level,,,,1,unclassified
finalizers,,,,1,unclassified
Fisman,,,,1,unclassified
Francophones,,,,1,unclassified
Friis,,,,1,unclassified
full-persistence,,,,1,unclassified
Funct,,,,1,unclassified
fuzzer,,,,1,unclassified
GADTs7,,,,1,unclassified
gen_heap.html,,,,1,unclassified
Gereon,,,,1,unclassified
Get-only,,,,1,unclassified
git-like,,,,1,unclassified
Grigore,,,,1,unclassified
hand-written,,,,1,unclassified
handoptimized,,,,1,unclassified
Haniel,,,,1,unclassified
hardcode,,,,1,unclassified
hardcoded,,,,1,unclassified
hash-maps,,,,1,unclassified
hashmaps,,,,1,unclassified
hashsets,,,,1,unclassified
hashtables,,,,1,unclassified
HeapLang,,,,1,unclassified
Hichem,,,,1,unclassified
https,,,,1,unclassified
Hyper-threading,,,,1,unclassified
Ilog,,,,1,unclassified
immer,,,,1,unclassified
implementation.6,,,,1,unclassified
implementation9,,,,1,unclassified
in-degree,,,,1,unclassified
in-degrees,,,,1,unclassified
Industrial-Strength,,,,1,unclassified
inliner,,,,1,unclassified
insert-only,,,,1,unclassified
Invalid_argument,,,,1,unclassified
iris.base_logic.lib.gen_heap,,,,1,unclassified
Jacques-Henri,,,,1,unclassified
JFLA,,,,1,unclassified
Journees,,,,1,unclassified
Langages,,,,1,unclassified
Leijen,,,,1,unclassified
log()x,,,,1,unclassified
logs12,,,,1,unclassified
low-overhead,,,,1,unclassified
lower-bound,,,,1,unclassified
macrobenchmark,,,,1,unclassified
Makai,,,,1,unclassified
Map.Make(Int).t,,,,1,unclassified
maybe/option,,,,1,unclassified
Medard,,,,1,unclassified
Michael-Scott,,,,1,unclassified
mind.3,,,,1,unclassified
mirrorring,,,,1,unclassified
Moine,,,,1,unclassified
more-or-less-persistent,,,,1,unclassified
Mudathir,,,,1,unclassified
mutable-with-snapshot,,,,1,unclassified
NCREATE,,,,1,unclassified
NCREATE=2,,,,1,unclassified
noisecontrolled,,,,1,unclassified
non-expert,,,,1,unclassified
non-tail-recursive,,,,1,unclassified
not-too-slow,,,,1,unclassified
NREAD,,,,1,unclassified
