Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
ocamlopt,,,,2,unclassified
Palsberg,,,,2,unclassified
Pavlopoulou,,,,2,unclassified
Polyvariant,,,,2,unclassified
Prentice-Hall,,,,2,unclassified
producer2,,,,2,unclassified
rectypes,,,,2,unclassified
Rehof,,,,2,unclassified
right-hand-side,,,,2,unclassified
scrutinees,,,,2,unclassified
Simple-sub,,,,2,unclassified
simplications,,,,2,unclassified
simplied,,,,2,unclassified
some_computation,,,,2,unclassified
Springer-Verlag,,,,2,unclassified
Takeichi,,,,2,unclassified
Treejoin,,,,2,unclassified
Turchin's,,,,2,unclassified
type-and-elaboration,,,,2,unclassified
type-preserving,,,,2,unclassified
unaected,,,,2,unclassified
user-dened,,,,2,unclassified
well-scoped,,,,2,unclassified
worklist,,,,2,unclassified
a.k.a,,,,1,unclassified
ad-hoc,,,,1,unclassified
Ariola,,,,1,unclassified
arXiv,,,,1,unclassified
Atsushi,,,,1,unclassified
AUTHOR(S,,,,1,unclassified
best-eort,,,,1,unclassified
better-tuned,,,,1,unclassified
biunication,,,,1,unclassified
book-kept,,,,1,unclassified
Breitner,,,,1,unclassified
Build-Catas,,,,1,unclassified
callees,,,,1,unclassified
CFL-reachability,,,,1,unclassified
check-and-ltering,,,,1,unclassified
co-structure,,,,1,unclassified
condence,,,,1,unclassified
condent,,,,1,unclassified
conict,,,,1,unclassified
conicts,,,,1,unclassified
cons_k,,,,1,unclassified
cons_ks,,,,1,unclassified
constraintsolving,,,,1,unclassified
constructors.3,,,,1,unclassified
control-ow,,,,1,unclassified
core_bench,,,,1,unclassified
core_bench5,,,,1,unclassified
counter-productive,,,,1,unclassified
counter-productively,,,,1,unclassified
Curry-style,,,,1,unclassified
custom-dened,,,,1,unclassified
diculties,,,,1,unclassified
dierence,,,,1,unclassified
dierences,,,,1,unclassified
dotPlus,,,,1,unclassified
Downen,,,,1,unclassified
Eciently,,,,1,unclassified
element-wise,,,,1,unclassified
equi-recursive,,,,1,unclassified
f.g,,,,1,unclassified
Float-Out,,,,1,unclassified
fold/unfold,,,,1,unclassified
folding/unfolding,,,,1,unclassified
free-variable,,,,1,unclassified
gures,,,,1,unclassified
hand-crafted,,,,1,unclassified
hard-coded,,,,1,unclassified
Horvath,,,,1,unclassified
https,,,,1,unclassified
Hylomorphisms,,,,1,unclassified
identier,,,,1,unclassified
IFL,,,,1,unclassified
improvement.1,,,,1,unclassified
in2,,,,1,unclassified
industry-strength,,,,1,unclassified
ineciencies,,,,1,unclassified
inlined,,,,1,unclassified
inlinings,,,,1,unclassified
Isao,,,,1,unclassified
Iwasaki,,,,1,unclassified
justies,,,,1,unclassified
Karl-Filip,,,,1,unclassified
kept-track,,,,1,unclassified
Kwangkeun,,,,1,unclassified
Leshchinskiy,,,,1,unclassified
Let-Polymorphic,,,,1,unclassified
lower-bounds,,,,1,unclassified
MacBook,,,,1,unclassified
map-of-map,,,,1,unclassified
maprev,,,,1,unclassified
Masato,,,,1,unclassified
meta-variable,,,,1,unclassified
ML-family,,,,1,unclassified
modied,,,,1,unclassified
msort,,,,1,unclassified
Multiple-Agent,,,,1,unclassified
nano-seconds,,,,1,unclassified
nds,,,,1,unclassified
ner-grained,,,,1,unclassified
nil_k,,,,1,unclassified
nil_ks,,,,1,unclassified
nite,,,,1,unclassified
