Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
Filinski,,,,2,unclassified
firstFailure,,,,2,unclassified
GADTs,,,,2,unclassified
Ghica,,,,2,unclassified
Google,,,,2,unclassified
HandledCont,,,,2,unclassified
handler's,,,,2,unclassified
handleReturn,,,,2,unclassified
hstate,,,,2,unclassified
JAX,,,,2,unclassified
Kammar,,,,2,unclassified
key3,,,,2,unclassified
Leijen,,,,2,unclassified
n)Int,,,,2,unclassified
n-length,,,,2,unclassified
n:Int,,,,2,unclassified
nds,,,,2,unclassified
newtype,,,,2,unclassified
OOPSLA2,,,,2,unclassified
otherwise-independent,,,,2,unclassified
Paka,,,,2,unclassified
ParallelizableHandler,,,,2,unclassified
Paszke,,,,2,unclassified
Phipps-Costin,,,,2,unclassified
Pieters,,,,2,unclassified
productElts,,,,2,unclassified
rank2TraverseP,,,,2,unclassified
round-robin,,,,2,unclassified
runConcurrentIO,,,,2,unclassified
shared_seed,,,,2,unclassified
SharedState,,,,2,unclassified
Sivaramakrishnan,,,,2,unclassified
subhandle,,,,2,unclassified
subresult,,,,2,unclassified
accelerator-friendly,,,,1,unclassified
Accy,,,,1,unclassified
ACM/IEEE,,,,1,unclassified
aect,,,,1,unclassified
aected,,,,1,unclassified
aerward,,,,1,unclassified
ahead-of-time,,,,1,unclassified
Alexey,,,,1,unclassified
Ambrus,,,,1,unclassified
Andrzej,,,,1,unclassified
AUTHOR(S,,,,1,unclassified
Autodi,,,,1,unclassified
AutoParallel.do,,,,1,unclassified
b:bs,,,,1,unclassified
Backends,,,,1,unclassified
Bhargavan,,,,1,unclassified
binomial_times_uniform,,,,1,unclassified
briey,,,,1,unclassified
calculus1,,,,1,unclassified
Coens,,,,1,unclassified
Comput,,,,1,unclassified
continuation-passing,,,,1,unclassified
conveniently-named,,,,1,unclassified
Danel,,,,1,unclassified
Danvy,,,,1,unclassified
data-access,,,,1,unclassified
data-independent,,,,1,unclassified
denitions,,,,1,unclassified
Dex-inspired,,,,1,unclassified
dierences,,,,1,unclassified
Dimitrios,,,,1,unclassified
Duvenaud,,,,1,unclassified
eciently,,,,1,unclassified
eect-dependent,,,,1,unclassified
eect-specic,,,,1,unclassified
Eekt,,,,1,unclassified
Eliopoulos,,,,1,unclassified
Enno,,,,1,unclassified
err._k,,,,1,unclassified
Exequiel,,,,1,unclassified
explicitly-concurrent,,,,1,unclassified
expression.3,,,,1,unclassified
Extensiblility,,,,1,unclassified
"f,go",,,,1,unclassified
"f,k",,,,1,unclassified
"f,ks",,,,1,unclassified
Finne,,,,1,unclassified
foldr,,,,1,unclassified
follows5,,,,1,unclassified
for-based,,,,1,unclassified
Fournet,,,,1,unclassified
free-er,,,,1,unclassified
Funct,,,,1,unclassified
fv(g2,,,,1,unclassified
genUniform,,,,1,unclassified
h*i,,,,1,unclassified
hAccum's,,,,1,unclassified
handlePerform,,,,1,unclassified
handleTraverseList,,,,1,unclassified
handleTraverseRank2,,,,1,unclassified
HHH,,,,1,unclassified
HHT,,,,1,unclassified
Hiromi,,,,1,unclassified
hkey1,,,,1,unclassified
homogeneouslytyped,,,,1,unclassified
