Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
BasicMetaTheory.validity,,,,1,unclassified
Bhargavan,,,,1,unclassified
Bruijn,,,,1,unclassified
Capriotti,,,,1,unclassified
case.7,,,,1,unclassified
CastRemoval.castrm,,,,1,unclassified
CCAST.cterm,,,,1,unclassified
checking--this,,,,1,unclassified
Citeseer,,,,1,unclassified
CoqMT,,,,1,unclassified
correct-by-construction,,,,1,unclassified
Ctlin,,,,1,unclassified
CTyping.ctyping,,,,1,unclassified
dans,,,,1,unclassified
def_name,,,,1,unclassified
Delignat-Lavaud,,,,1,unclassified
Devriese,,,,1,unclassified
discard.6,,,,1,unclassified
EACSL,,,,1,unclassified
ElimReflection.conservativity,,,,1,unclassified
ElimReflection.consistency,,,,1,unclassified
equal9,,,,1,unclassified
Erasure.erase_castrm,,,,1,unclassified
Erasure.erase_context,,,,1,unclassified
Erasure.erase_conv,,,,1,unclassified
Erasure.erase_subst,,,,1,unclassified
Erasure.erase_term,,,,1,unclassified
Erasure.erase_typing,,,,1,unclassified
err_length,,,,1,unclassified
err_length_eq,,,,1,unclassified
errN,,,,1,unclassified
exfalsoG,,,,1,unclassified
exfalsoK/T,,,,1,unclassified
exfalsoK/T/G,,,,1,unclassified
exfalsoP,,,,1,unclassified
factorise,,,,1,unclassified
FOSSACS,,,,1,unclassified
Fournet,,,,1,unclassified
fromRev(cast,,,,1,unclassified
G(R)TT,,,,1,unclassified
GAST.term,,,,1,unclassified
general)--have,,,,1,unclassified
Ghost-specific,,,,1,unclassified
Gondelman,,,,1,unclassified
GTT--and,,,,1,unclassified
GTT--we,,,,1,unclassified
Haselwarter,,,,1,unclassified
Hricu,,,,1,unclassified
https,,,,1,unclassified
inferred--as,,,,1,unclassified
Infrastructural,,,,1,unclassified
Intensionality,,,,1,unclassified
internalise,,,,1,unclassified
Jean-Karim,,,,1,unclassified
Joakim,,,,1,unclassified
K/T/P,,,,1,unclassified
Karthikeyan,,,,1,unclassified
Kathrin,,,,1,unclassified
Kind--and,,,,1,unclassified
Kind--in,,,,1,unclassified
Kind0,,,,1,unclassified
Kindusup,,,,1,unclassified
Kohlweiss,,,,1,unclassified
Kunze,,,,1,unclassified
length-indexed,,,,1,unclassified
Lisbonne,,,,1,unclassified
lists--introduced,,,,1,unclassified
LNCS,,,,1,unclassified
LS2N-Nantes,,,,1,unclassified
Malecha,,,,1,unclassified
Markulf,,,,1,unclassified
Matija,,,,1,unclassified
McKinna,,,,1,unclassified
md(cast,,,,1,unclassified
md(erased,,,,1,unclassified
md(exfalso,,,,1,unclassified
md(fromRev,,,,1,unclassified
md(gh-refl,,,,1,unclassified
md(hide,,,,1,unclassified
md(Sort,,,,1,unclassified
md(toRev,,,,1,unclassified
md(vcons,,,,1,unclassified
md(vec,,,,1,unclassified
md(vec-elim,,,,1,unclassified
md(vnil,,,,1,unclassified
modalities--and,,,,1,unclassified
Model.mode_coherence,,,,1,unclassified
Model.relative_consistency,,,,1,unclassified
Model.sort_mode_inj,,,,1,unclassified
Module_name,,,,1,unclassified
Module_name.def_name,,,,1,unclassified
Multi-Monadic,,,,1,unclassified
multi-sorted,,,,1,unclassified
Nikhil,,,,1,unclassified
of--presumably--function,,,,1,unclassified
offers.3,,,,1,unclassified
Ohman,,,,1,unclassified
optimisation,,,,1,unclassified
Param.param_castrm,,,,1,unclassified
Param.param_context,,,,1,unclassified
Param.param_conv,,,,1,unclassified
Param.param_scoping,,,,1,unclassified
Param.param_subst,,,,1,unclassified
Param.param_term,,,,1,unclassified
Param.param_typing,,,,1,unclassified
Param.typing_er_sub_param,,,,1,unclassified
Param.typing_rev_sub_param,,,,1,unclassified
Pfenning,,,,1,unclassified
Potential.tr_bot_eq,,,,1,unclassified
Potential.tr_choice,,,,1,unclassified
Potential.tr_ctx,,,,1,unclassified
Potential.tr_sort_eq,,,,1,unclassified
Potential.tr_ty,,,,1,unclassified
practice--through,,,,1,unclassified
PRL,,,,1,unclassified
Proof-Irrelevance,,,,1,unclassified
proof8,,,,1,unclassified
QTT,,,,1,unclassified
Rastogi,,,,1,unclassified
Revival.revive_castrm,,,,1,unclassified
Revival.revive_context,,,,1,unclassified
Revival.revive_conv,,,,1,unclassified
Revival.revive_subst,,,,1,unclassified
Revival.revive_term,,,,1,unclassified
Revival.revive_typing,,,,1,unclassified
Revival.type_to_rev,,,,1,unclassified
RTyping.grtyping,,,,1,unclassified
Scoping.scoping,,,,1,unclassified
several2,,,,1,unclassified
SIGPLAN-SIGACT,,,,1,unclassified
simplify--the,,,,1,unclassified
SortG,,,,1,unclassified
SortK,,,,1,unclassified
SortK/T/G,,,,1,unclassified
SortP,,,,1,unclassified
SortT,,,,1,unclassified
SortT/G,,,,1,unclassified
Sortumax,,,,1,unclassified
sq-elim,,,,1,unclassified
strictes,,,,1,unclassified
T/G,,,,1,unclassified
take-away,,,,1,unclassified
TermMode.md,,,,1,unclassified
theory--the,,,,1,unclassified
Thessaloniki,,,,1,unclassified
TransNat,,,,1,unclassified
TransVec.pm_vec_elim,,,,1,unclassified
TransVec.pm_vec_elim_Prop,,,,1,unclassified
Type+1,,,,1,unclassified
type-based--although,,,,1,unclassified
type-preserving,,,,1,unclassified
typecheck,,,,1,unclassified
types--such,,,,1,unclassified
Typing.conversion,,,,1,unclassified
Typing.typing,,,,1,unclassified
Typing.wf,,,,1,unclassified
Ulf,,,,1,unclassified
undecidability,,,,1,unclassified
Univ.umax,,,,1,unclassified
Univ.usup,,,,1,unclassified
user-defined,,,,1,unclassified
vectors--do,,,,1,unclassified
vectors--or,,,,1,unclassified
well-scoped,,,,1,unclassified
Why3--where,,,,1,unclassified
Zanella-Beguelin,,,,1,unclassified
Zinzindohoue,,,,1,unclassified
