Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
box.2,,,,1,unclassified
boxity-environment,,,,1,unclassified
boxity-environments,,,,1,unclassified
Br(w,,,,1,unclassified
byte-addressed,,,,1,unclassified
Chaitanya,,,,1,unclassified
Chataing,,,,1,unclassified
Chung-chieh,,,,1,unclassified
closure-explicit,,,,1,unclassified
compiler-flags,,,,1,unclassified
cons-cells,,,,1,unclassified
cross-module,,,,1,unclassified
data-layouts,,,,1,unclassified
data-parallel,,,,1,unclassified
data-representations,,,,1,unclassified
dictionary-passing,,,,1,unclassified
e-db,,,,1,unclassified
e[(fix,,,,1,unclassified
e[l/x,,,,1,unclassified
E[r,,,,1,unclassified
e[v/x,,,,1,unclassified
effect-annotated,,,,1,unclassified
effect-variables,,,,1,unclassified
effecttyped,,,,1,unclassified
EQR,,,,1,unclassified
fc(B,,,,1,unclassified
fix-point,,,,1,unclassified
FPCA,,,,1,unclassified
front-end,,,,1,unclassified
Funct,,,,1,unclassified
GADTs,,,,1,unclassified
garbage-collection,,,,1,unclassified
generalpurpose,,,,1,unclassified
heap-allocated,,,,1,unclassified
heap-to-live,,,,1,unclassified
Hennesey's,,,,1,unclassified
high-bits,,,,1,unclassified
high-end,,,,1,unclassified
high-performance,,,,1,unclassified
high-tagged,,,,1,unclassified
high-unboxing,,,,1,unclassified
highbit,,,,1,unclassified
Hojfeld,,,,1,unclassified
https,,,,1,unclassified
Huu-Duc,,,,1,unclassified
identically-sized,,,,1,unclassified
intermediate-language,,,,1,unclassified
intermediatelanguage,,,,1,unclassified
interoperability,,,,1,unclassified
Jagannathan,,,,1,unclassified
Knuth-Bendix,,,,1,unclassified
Koparkar,,,,1,unclassified
Langgaards,,,,1,unclassified
Launchbury,,,,1,unclassified
Launchbury's,,,,1,unclassified
left-most,,,,1,unclassified
Leroy's,,,,1,unclassified
let-reduction,,,,1,unclassified
lexed,,,,1,unclassified
lexer,,,,1,unclassified
lexers,,,,1,unclassified
look-ahead,,,,1,unclassified
low-tagged,,,,1,unclassified
low-unboxing,,,,1,unclassified
M(x,,,,1,unclassified
MacBook,,,,1,unclassified
macOS,,,,1,unclassified
micro-benchmarks,,,,1,unclassified
Milind,,,,1,unclassified
MLton's,,,,1,unclassified
multi-constructor,,,,1,unclassified
multiplicity-inferred,,,,1,unclassified
NaN-boxing,,,,1,unclassified
no_high_pointer_tagging,,,,1,unclassified
non-argument-taking,,,,1,unclassified
non-enumeration,,,,1,unclassified
non-exhaustive,,,,1,unclassified
non-nullary,,,,1,unclassified
non-uniform,,,,1,unclassified
non-used,,,,1,unclassified
Ohori,,,,1,unclassified
Okasaki,,,,1,unclassified
Olesen,,,,1,unclassified
page-aligned,,,,1,unclassified
parameterised,,,,1,unclassified
path-compression,,,,1,unclassified
path-halving,,,,1,unclassified
PATRICIA--Practical,,,,1,unclassified
Patriciatrees,,,,1,unclassified
Patterson's,,,,1,unclassified
pointer-tagging,,,,1,unclassified
pointer-tracing,,,,1,unclassified
PPDP,,,,1,unclassified
prefix-tag,,,,1,unclassified
pretty-printing,,,,1,unclassified
Procedings,,,,1,unclassified
program-analyses,,,,1,unclassified
Program/Compiler,,,,1,unclassified
Rainey,,,,1,unclassified
ray-tracing,,,,1,unclassified
"ref(PTR(ref(ECR(data,8",,,,1,unclassified
Region-Based,,,,1,unclassified
report_boxities,,,,1,unclassified
representation-wise,,,,1,unclassified
runtimes,,,,1,unclassified
S(B,,,,1,unclassified
s-app,,,,1,unclassified
s-bl0,,,,1,unclassified
s-int,,,,1,unclassified
s-lb0,,,,1,unclassified
s-sel,,,,1,unclassified
s-vtup,,,,1,unclassified
Sestoft,,,,1,unclassified
single-argument,,,,1,unclassified
size-information,,,,1,unclassified
sourcelevel,,,,1,unclassified
SSAlike,,,,1,unclassified
strongly-connected,,,,1,unclassified
subcases,,,,1,unclassified
sum-type,,,,1,unclassified
tag-less,,,,1,unclassified
Talpin,,,,1,unclassified
TALT,,,,1,unclassified
Tarditi,,,,1,unclassified
Thiemann,,,,1,unclassified
third-party,,,,1,unclassified
time-performing,,,,1,unclassified
today's,,,,1,unclassified
top-left,,,,1,unclassified
top-right,,,,1,unclassified
trade-offs,,,,1,unclassified
treetraversals,,,,1,unclassified
Tup-value,,,,1,unclassified
tuple-flattening,,,,1,unclassified
tupleflattening,,,,1,unclassified
tupleselection,,,,1,unclassified
type-binding,,,,1,unclassified
type-case,,,,1,unclassified
type-indexed,,,,1,unclassified
Uniqe,,,,1,unclassified
usr/bin/time,,,,1,unclassified
utilisation,,,,1,unclassified
Vej,,,,1,unclassified
Vejlstrup,,,,1,unclassified
Vollmer,,,,1,unclassified
w-box,,,,1,unclassified
w/x,,,,1,unclassified
word-alignment,,,,1,unclassified
word-operations,,,,1,unclassified
word.1,,,,1,unclassified
wordrepresentation,,,,1,unclassified
Yanling,,,,1,unclassified
Ziarek,,,,1,unclassified
