Term,Pronunciation,Context / Example Usage,Notes,Count,Tags
definition-wise,,,,2,unclassified
Dinsdale-Young,,,,2,unclassified
entails-trans,,,,2,unclassified
Feng,,,,2,unclassified
foo1,,,,2,unclassified
foo2,,,,2,unclassified
fooX,,,,2,unclassified
get/set,,,,2,unclassified
hom-mra,,,,2,unclassified
IPM's,,,,2,unclassified
iris-e,,,,2,unclassified
Jeehoon,,,,2,unclassified
Krebbers,,,,2,unclassified
Lennart,,,,2,unclassified
Ley-Wild,,,,2,unclassified
load(p,,,,2,unclassified
mProps,,,,2,unclassified
mras-link-assoc,,,,2,unclassified
mras-ref-hcomp,,,,2,unclassified
"N,x",,,,2,unclassified
Nanevski,,,,2,unclassified
non-step-indexed,,,,2,unclassified
non-trivial,,,,2,unclassified
P(Trace,,,,2,unclassified
"P,n",,,,2,unclassified
pers-idemp,,,,2,unclassified
pers-star,,,,2,unclassified
pick(N,,,,2,unclassified
print(1,,,,2,unclassified
ra-core-mono,,,,2,unclassified
"rpt(put,a,a",,,,2,unclassified
RptSucPut,,,,2,unclassified
set(w,,,,2,unclassified
star-assoc,,,,2,unclassified
store(p,,,,2,unclassified
univ-i,,,,2,unclassified
unwrapUB,,,,2,unclassified
vs-refl,,,,2,unclassified
wand-e,,,,2,unclassified
wand-mono,,,,2,unclassified
Xiongnan,,,,2,unclassified
adeqacy,,,,1,unclassified
Aleksandar,,,,1,unclassified
assume(p,,,,1,unclassified
AUTHOR(S,,,,1,unclassified
before.5,,,,1,unclassified
Beh(1,,,,1,unclassified
beh(concat,,,,1,unclassified
Beh(f,,,,1,unclassified
Beh(let,,,,1,unclassified
Beh(main,,,,1,unclassified
Bizjak,,,,1,unclassified
block-based,,,,1,unclassified
blocks--shown,,,,1,unclassified
C-Assembly,,,,1,unclassified
Calculus--a,,,,1,unclassified
calculus--to,,,,1,unclassified
calloc(1,,,,1,unclassified
calloc(sz,,,,1,unclassified
callwise,,,,1,unclassified
CCR's,,,,1,unclassified
Channel-Based,,,,1,unclassified
clients--this,,,,1,unclassified
co-)recursively,,,,1,unclassified
Commun,,,,1,unclassified
commutativity/associativity,,,,1,unclassified
CompCertM,,,,1,unclassified
complexity--in,,,,1,unclassified
CONSEQ,,,,1,unclassified
corecursion,,,,1,unclassified
correspondence--called,,,,1,unclassified
Costanzo,,,,1,unclassified
cryptic--and,,,,1,unclassified
Cuellar,,,,1,unclassified
D'Hondt,,,,1,unclassified
Deepak,,,,1,unclassified
definition--e.g,,,,1,unclassified
demonically/angelically,,,,1,unclassified
Dongjoo,,,,1,unclassified
drop-in,,,,1,unclassified
ECOOP,,,,1,unclassified
Edsger,,,,1,unclassified
entry/exit,,,,1,unclassified
event-based,,,,1,unclassified
false-e,,,,1,unclassified
FineGrained,,,,1,unclassified
follows:4,,,,1,unclassified
formalization.3,,,,1,unclassified
frame-preserving,,,,1,unclassified
fundef,,,,1,unclassified
fupd-e,,,,1,unclassified
fupd-frame,,,,1,unclassified
fupd-i,,,,1,unclassified
fupd-mono,,,,1,unclassified
Gastin,,,,1,unclassified
GBR,,,,1,unclassified
Grey-colored,,,,1,unclassified
Guo,,,,1,unclassified
Haozhong,,,,1,unclassified
HCOMP,,,,1,unclassified
Hoang-Hai,,,,1,unclassified
Hoare-style,,,,1,unclassified
hom-ra,,,,1,unclassified
Hongjin,,,,1,unclassified
